"CASEID","PCEG","PASS_ID","NGHD_group","new_ABS","prevpass","FIPSCode","Tract","BlockGroup","Block","qa","qb","q1","q2","q3","q4a","q4b","q4c","q4d","q4e","q5a","q5b","q5c","q5d","q6a","q6b","q6c","q6d","q7a","q7b","q7c","q7d","q7e","q8","q9a","q9b","q9c","q9d","q9e","q9f","q9g","q9h","q9i","q10a","q10b","q10c","q10d","q11a","q11b","q11c","q11d","q11e","q12a","q12b","q12c","q12d","q13","q14a","q14b","q14c","q14d","q15a","q15b","q15c","q15d","q15e","q16a","q16b","q16c","q16d","q16e","q16f","q16g","q16h","q17a","q17b","q17c","q17d","q17e","q17f","q17g","q17h","q17i","q18","q19f","q19c","q20f","q20c","q21","q21a","q22a","q22b","q22c","q22d","q22e","q22f","q22g","q22h","q23","q24a","q24b","q24c","q24d","q24e","q24f","q24g","q24h","q25","q26","q27","q28","q29","q30","q31a","q31b","q31c","q31d","q31e","q31f","q31x","q32a","q32b","q32c","q32d","q32e","q32f","q32x","q33a","q33b","q33c","q33d","q33e","q33f","q34","q35","q36","q37a","q37b","q37c","q37d","q37e","q37f","q37g","q37h","q37i","q38a","q38b","q38c","q38d","q38e","q38f","q39a","q39b","q39c","q39d","q39e","q39f","q40a","q40b","q40c","q40d","q40e","q41a","q41b","q41c","q41d","q41e","q41f","q41g","q41h","q42a","q42b","q42c","q42d","q42e","q43","q43aa","q43ab","q43ac","q43ad","q43ae","q44a","q44b","q44c","q44d","q45a","q45b","q45c","q45d","q45e","q45f","q45g","q46a","q46b","q46c","q46d","q46e","q46f","q47a","q47b","q47c","q47d","q47e","q47f","q47g","q47h","q47i","q47j","q48a","q48b","q48c","q48d","q48e","q48f","q48g","q48h","q49a","q49b","q49c","q49d","q49e","q49f","q49g","q50","AGE_Q50","q51","q52@yr","q52@mo","q53@yr","q53@mo","q54","q55","q55aa","q55ab","q55ac","q56a","q56b","q57","q58","q59","q60","q61","q62","q63","q64","q65","q66a","q66b","q66c","q66d","q66e","q67","q68a","q68b","q68c","q68d","q68e","q69@ft","q69@in","q69@cm","q70@lb","q70@kg"
"10082","11","IBW","3","1","0","4013","217900","1","0",NA,NA,"4","5","1","4","5","4","5","5","5","5","5","4","5","5","5","5","2","4","3","4","4","1","5","5","5","5","5","-3","4","4","5","5","4","4","5","5","5","4","5","5","3","4","3","4","4","1","1","3","3","2","5","2","3","2","4","4","2","2","4","2","4","4","3","3","4","4","5","2","2","3","4","3",103,114,1,2,"1","2","1","2","2","1","1","1","1","-3","2","2","2","2","1","1","1","2","-3","2","9","6","2","2","3","-3","-3","-3","1","1","-3","-3","-3","-3","1","-3","-3","-3","-3","5","4","2","1","1","-3","1","1","3","1","1","1","2","1","1","2","2","1","2","5","4","5","5","5","1","2","1","1","1","1","2","2","1","2","-3","3","4","3","3","3","4","3","3","2","2","2","2","-3","2",NA,NA,NA,NA,NA,"2","2","5","5","2","1","2","1","3","3","3","2","2","1","1","1","2","3","3","3","5","5","4","4","3","4","4","3","2","4","5","5","4","4","3","2","4","3","2","2","4","3",1979,38,"3",14,-3,-3,6,3,"1","2","1","-3","6","1","1","1","1","1","2","10","6","2","2","1","-3","-3","-3","-3","4","5","5","5","5","5",5,10,-3,155,-3
"10084","14","W15","11","1","0","4013","107900","2","22",NA,NA,"4","2","1","3","4","3","3","4","2","2","2","2","2","3","2","2","1","4","1","5","4","2","4","5","5","4","5","2","5","5","5","5","3","3","3","4","5","5","5","5","2","5","1","4","2","3","3","3","3","4","4","3","4","3","4","3","1","3","5","1","5","1","3","1","4","4","3","3","1","1","5","2",85,-3,78,-3,"2",NA,"1","2","2","1","1","2","1","-3","1","2","2","2","1","2","2","2","-3","8","8","1","1","1","3","-3","-3","-3","-3","1","-3","-3","-3","-3","1","-3","1","-3","-3","3","4","-3","-3","-3","-3","2","2","3","1","1","2","2","1","2","2","-3","-3","1","4","1","1","1","1","1","2","2","1","1","2","2","2","2","2","-3","3","4","2","5","3","3","3","1","1","1","2","1","-3","2",NA,NA,NA,NA,NA,"3","2","5","5","3","1","3","2","2","2","1","1","2","1","3","1","1","2","3","3","3","1","3","1","2","1","1","3","2","2","5","4","4","5","4","1","5","4","1","3","4","1",1939,78,"3",50,-3,42,-3,2,"1","2","1","-3","6","3","6","1","1","1","2","4","6","1","2","1","-3","-3","-3","-3","4","3","4","4","4","2",5,7,-3,210,-3
"10090","15","AA9","2","1","0","4013","216828","1","3",NA,NA,"5","2","1","5","5","3","5","5","1","1","1","1","4","4","1","1","1","5","1","5","4","2","4","4","4","4","4","4","4","2","5","5","1","1","1","5","5","4","5","5","3","4","3","4","4","2","3","3","3","3","5","3","5","3","4","4","1","3","3","2","4","3","4","1","5","5","4","1","1","2","4","-3",102,-3,79,-3,"1","2","1","2","2","1","1","2","2","1","2","2","2","1","2","2","2","2","-3","3","3","1","6","4","1","-3","-3","-3","1","-3","-3","-3","-3","-3","-3","-3","1","-3","-3","4","-3","-3","4","-3","4","1","1","1","2","2","2","2","1","2","2","2","-3","1","2","2","3","3","4","2","2","1","1","2","1","2","2","2","2","-3","2","3","3","4","1","1","1","1","1","2","2","2","-3","2",NA,NA,NA,NA,NA,"3","3","5","4","2","2","1","2","1","2","1","1","1","1","1","1","1","3","3","3","4","3","3","3","3","3","4","1","1","4","5","4","3","5","4","1","5","4","2","4","4","3",1967,50,"3",24,-3,14,-3,1,"1","-3","1","-3","6","1","1","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3",-3,-3,-3,-3,-3
"10091","11","AA9","2","1","0","4013","216828","1","79",NA,NA,"4","2","3","1","1","1","1","1","1","4","1","1","1","5","1","1","2","2","3","4","2","2","5","5","3","5","5","2","5","2","5","5","1","1","1","4","4","3","1","4","5","3","3","2","3","2","3","2","3","1","4","2","3","3","5","5","2","2","2","2","3","4","3","3","5","3","5","2","1","1","3","6",106,-3,81,-3,"2",NA,"1","2","2","1","1","2","1","-3","2","2","2","2","2","2","2","2","-3","1","3","1","2","3","1","-3","-3","-3","1","-3","-3","-3","-3","-3","-3","1","-3","-3","-3","2","5","5","5","1","-3","1","1","3","1","2","2","2","1","2","1","2","-3","1","2","3","3","2","3","1","2","1","2","2","2","2","2","1","1","-3","6","6","6","6","6","6","6","6","2","2","2","2","-3","2",NA,NA,NA,NA,NA,"3","2","5","5","2","3","1","1","1","2","1","1","2","2","1","3","1","3","5","5","4","2","2","5","2","5","5","4","1","1","5","5","5","5","5","1","5","5","1","1","5","1",1984,33,"1",18,-3,3,-3,3,"1","-3","1","-3","6","1","1","1","1","1","1","11","6","2","2","1","-3","-3","-3","-3","6","2","4","4","4","2",5,4,-3,150,-3
"10092","15","711","1","1","0","4013","114800","2","21",NA,NA,"3","5","3","5","5","5","5","5","2","2","2","2","4","4","4","4","1","4","5","-3","4","1","1","1","4","4","4","4","4","4","2","5","4","2","2","5","5","5","5","5","1","3","5","1","1","1","3","3","3","2","2","2","3","2","2","2","5","5","5","5","5","1","5","5","3","2","4","5","5","4","4","5",80,-3,100,-3,"2",NA,"-3","1","1","1","-3","-3","-3","-3","1","2","2","2","2","2","2","2","-3","5","5","2","-3","5","2","-3","1","-3","-3","-3","-3","-3","1","-3","-3","-3","-3","-3","-3","5","-3","-3","-3","-3","-3","2","2","1","2","2","2","1","2","2","2","2","-3","5","5","4","4","4","4","1","2","2","1","1","2","2","2","1","1","-3","1","4","4","1","3","5","5","5","2","2","2","2","-3","2",NA,NA,NA,NA,NA,"2","3","5","5","5","3","3","5","3","5","5","2","1","1","1","1","5","5","5","4","5","4","5","5","5","5","4","3","4","5","5","5","5","5","5","3","5","5","4","1","5","4",1951,66,"1",64,-3,64,-3,1,"2",NA,NA,NA,NA,NA,"2","1","3","2","2","1","4","1","1",NA,NA,NA,NA,NA,"4","4","2","3","5","4",5,10,-3,165,-3
"10096","8","IBW","3","1","0","4013","217900","1","0",NA,NA,"3","3","1","4","4","4","4","4","2","2","2","1","2","2","2","1","1","4","1","5","4","2","5","5","3","5","5","5","3","3","4","5","5","5","5","5","5","5","5","5","5","4","2","4","5","2","2","3","3","2","5","2","5","2","5","5","1","1","5","5","4","4","1","1","5","3","5","3","2","2","2","3",102,-3,80,-3,"1","2","1","2","2","1","1","2","1","-3","2","2","2","2","2","2","2","2","-3","3","3","1","4","4","1","-3","-3","1","-3","-3","-3","-3","-3","-3","1","-3","-3","-3","-3","5","1","3","4","1","-3","1","1","6","2","2","2","1","1","2","1","2","-3","1","4","1","4","4","4","1","2","1","1","1","2","2","2","1","2","-3","2","3","3","3","3","4","2","3","2","2","2","2","-3","2",NA,NA,NA,NA,NA,"1","1","5","5","2","1","3","2","2","5","3","2","1","1","1","1","1","3","4","4","4","3","3","4","4","4","4","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4",1928,89,"3",72,-3,30,-3,2,"1","2","1","-3","-3","1","6","3","1","1","1","3","3","2","2","1","-3","-3","-3","-3","2","2","2","2","4","4",5,-3,-3,130,-3
"10098","2","U21","9","1","0","4013","116728","1","30",NA,NA,"4","3","1","2","3","2","3","4","1","1","2","2","4","4","3","3","1","4","1","5","5","1","5","5","3","5","5","5","5","3","5","5","5","5","5","5","4","4","4","4","2","5","1","5","5","3","3","3","3","2","3","2","3","3","5","5","1","1","5","1","5","3","1","1","5","5","5","1","5","1","5","3",105,-3,115,-3,"2",NA,"1","2","2","1","1","2","1","-3","2","2","2","2","2","1","2","2","-3","3","3","1","3","3","1","-3","-3","-3","-3","-3","1","-3","-3","-3","-3","1","-3","-3","-3","5","1","3","1","1","1","2","1","1","2","2","2","2","2","2","2","2","-3","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","-3","2","2","1","2","1","2","1","2","2","2","1","2","-3","1","2","2","1","2","-3","1","1","5","5","1","2","1","1","1","1","1","1","2","2","1","1","1","3","3","3","4","3","3","4","3","3","4","2","2","2","4","5","4","5","3","1","5","4","2","2","3","2",1967,50,"3",19,-3,14,-3,4,"1","1","1","-3","1","1","1","1","1","1","1","11","6","2","2","1","-3","-3","-3","-3","4","4","4","5","4","5",5,8,-3,185,-3
"10108","10","U21","9","1","0","4013","116728","1","17",NA,NA,"4","3","2","3","4","4","3","3","2","2","3","5","4","2","4","5","1","3","3","4","4","3","4","4","5","4","4","4","4","4","5","5","4","4","3","4","4","4","4","4","3","4","1","5","2","2","2","2","4","2","3","1","3","2","5","4","1","2","5","1","5","5","3","2","5","5","5","1","2","1","2","2",108,-3,108,-3,"2",NA,"1","2","2","1","1","2","1","1","1","2","2","2","1","1","2","2","-3","2","2","3","2","4","1","-3","-3","-3","-3","-3","1","-3","-3","-3","-3","-3","-3","1","-3","4","4","-3","-3","-3","-3","1","2","3","1","2","2","2","2","2","2","2","-3","2","4","4","4","4","4","-3","2","1","1","1","1","2","2","2","1","1","4","5","5","5","1","2","5","1","1","1","1","1","1","1","-3","-3","1","-3","1","4","4","5","5","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","2","2","3","5","4","3","4","3","2","4","3","3","2","2","3",1967,50,"3",6,-3,5,-3,2,"1","1","2","-3","1","6","1","1","1","1","1","11","4","2","2","1","-3","-3","-3","-3","3","4","4","4","4","4",5,6,-3,126,-3
"10115","8","R18","6","1","0","4013","112506","2","205",NA,NA,"3","5","3","3","3","3","3","3","3","3","3","1","4","4","3","1","3","4","2","4","4","3","4","4","4","5","5","5","4","3","4","4","2","2","1","4","4","3","3","4","3","4","3","4","3","3","3","3","3","2","3","3","2","3","5","5","1","1","4","1","3","4","3","2","3","3","3","3","3","2","2","3",115,-3,80,-3,"1","2","1","2","1","1","1","2","1","-3","2","2","2","2","2","2","2","1","-3","4","3","1","2","3","1","-3","-3","-3","-3","-3","1","-3","-3","-3","-3","1","-3","-3","-3","4","4","1","4","1","-3","1","1","3","1","2","2","2","2","2","2","2","-3","1","1","1","1","1","1","2","1","1","2","2","2","2","2","2","2","-3","6","2","6","3","6","6","2","1","2","2","2","2","-3","2",NA,NA,NA,NA,NA,"1","1","1","3","2","1","1","1","1","2","1","1","1","1","1","1","1","4","4","4","4","4","3","5","3","3","5","3","3","4","4","4","4","2","2","3","4","4","3","2","3","2",1958,59,"3",4,11,3,10,5,"1","2","1","-3","-3","2","1","1","1","2","1","8","4","2","1",NA,NA,NA,NA,NA,"4","4","4","4","4","4",5,1,-3,124,-3
"10120","15","R18","6","1","0","4013","112506","2","88",NA,NA,"3","3","2","4","3","2","3","3","2","2","4","4","4","3","4","3","2","2","5","5","4","1","5","2","4","1","2","3","1","1","3","5","3","1","2","4","4","3","3","4","3","2","1","4","2","2","2","3","5","1","3","2","4","2","4","4","2","2","3","1","4","3","4","3","2","2","2","3","3","2","4","2",80,-3,78,-3,"2",NA,"1","2","2","1","1","2","1","1","1","2","2","2","2","2","2","2","-3","1","8","1","1","8","1","-3","-3","-3","1","-3","-3","-3","-3","-3","1","-3","-3","-3","-3","4","4","1","1","1","1","1","1","2","1","2","2","2","2","2","1","2","-3","2","1","1","2","3","4","1","2","1","1","1","2","1","2","2","2","-3","1","5","3","5","3","2","2","1","1","2","2","2","-3","2",NA,NA,NA,NA,NA,"1","3","5","5","1","1","5","2","1","2","1","1","1","1","1","1","1","2","2","2","3","2","4","1","1","2","3","2","4","5","5","4","3","3","1","5","5","3","4","2","3","4",1977,40,"1",39,-3,3,-3,4,"1","2","1","-3","6","4","1","1","1","2","1","4","4","1","1",NA,NA,NA,NA,NA,"4","5","4","4","4","4",5,11,-3,220,-3
"10122","14","W15","11","1","0","4013","107900","2","26",NA,NA,"4","5","1","4","3","3","3","3","1","1","1","1","1","1","1","1","1","5","3","5","5","1","3","3","5","5","5","5","5","3","5","5","3","3","2","5","5","5","5","5","5","5","1","5","3","3","3","3","3","3","3","3","3","3","5","5","1","3","5","1","5","5","3","1","5","5","5","1","1","1","1","2",110,-3,80,-3,"2",NA,"1","-3","-3","1","-3","1","-3","-3","2","2","2","1","2","2","2","2","-3","1","8","1","1","1","2","-3","-3","1","-3","-3","-3","-3","-3","1","-3","-3","-3","-3","-3","5","-3","-3","-3","-3","-3","2","1","3","2","2","2","2","1","2","2","2","-3","1","1","1","1","-3","4","-3","-3","1","-3","-3","-3","2","2","2","2","-3","5","5","5","5","6","5","1","1","1","1","2","2","-3","2",NA,NA,NA,NA,NA,"2","1","5","5","1","1","1","1","1","1","1","2","1","1","4","1","1","4","5","5","4","4","3","3","3","3","4","1","1","3","5","5","5","5","5","4","5","5","1","1","5","1",1930,87,"5",64,-3,54,-3,2,"2",NA,NA,NA,NA,NA,"7","1","1","1","2","6","3","2","2","1","-3","-3","-3","-3","5","5","5","5","5","4",5,4,-3,115,-3
"10124","5","Q15","5","1","0","4013","82011","1","10",NA,NA,"4","4","2","4","4","2","2","3","4","2","1","1","3","2","1","1","1","3","4","5","4","2","2","4","2","1","3","3","3","1","4","5","4","2","4","5","4","3","4","4","2","3","2","2","1","2","2","3","3","2","3","3","3","2","2","4","3","2","2","3","4","4","2","1","4","2","2","2","2","1","2","6",95,-3,105,-3,"2",NA,"1","2","2","1","1","2","2","-3","1","2","2","2","-3","2","1","2","-3","1","2","3","8","8","2","-3","1","-3","-3","-3","-3","-3","-3","1","-3","-3","-3","-3","-3","4","2","3","2","1","-3","1","1","1","2","2","1","2","2","2","1","2","1","1","1","1","4","1","3","2","2","1","2","1","2","2","2","2","2","-3","1","2","1","2","2","4","2","2","2","2","2","2","-3","2",NA,NA,NA,NA,NA,"3","2","4","4","2","1","1","2","2","3","1","3","1","1","1","1","2","5","5","5","5","2","2","2","2","2","1","2","2","5","5","5","5","5","5","4","4","5","2","1","4","1",1969,48,"1",47,-3,2,-3,6,"2",NA,NA,NA,NA,NA,"1","1","1","1","1","4","3","1","1",NA,NA,NA,NA,NA,"6","5","5","5","5","5",5,11,-3,275,-3
"10125","11","AA9","2","1","0","4013","216828","1","79",NA,NA,"4","4","3","5","5","5","5","5","3","3","3","3","5","2","2","5","1","5","1","5","5","1","5","5","5","5","5","1","5","5","3","5","1","1","3","1","1","1","1","1","1","1","-3","-3","1","3","3","3","1","3","4","1","3","3","5","5","1","1","5","1","5","5","3","3","5","5","5","3","-3","-3","-3","2",100,-3,75,-3,"2",NA,"1","2","2","2","2","2","1","-3","2","2","2","1","2","2","2","2","-3","3","3","1","3","8","1","1","-3","-3","-3","-3","-3","-3","1","-3","-3","-3","-3","-3","-3","-3","1","3","4","3","-3","2","1","1","2","2","2","2","1","2","2","-3","-3","1","1","1","1","-3","4","2","1","1","1","1","1","2","2","2","2","-3","2","4","5","4","6","5","6","1","2","2","2","2","-3","2",NA,NA,NA,NA,NA,"1","5","5","5","1","2","3","1","1","1","5","5","1","1","5","5","4","5","5","5","5","5","5","5","5","5","5","1","1","2","5","5","5","-3","4","2","5","5","1","2","5","1",1951,66,"3",20,-3,9,-3,1,"2",NA,NA,NA,NA,NA,"2","1","1","1","2","-3","7","1","2","1","-3","-3","-3","-3","6","2","4","2","2","2",-3,-3,-3,-3,-3
"10127","1","U21","9","1","0","4013","116728","1","9",NA,NA,"4","5","1","4","5","4","4","5","2","4","5","2","2","5","5","2","1","5","1","5","5","4","5","5","3","3","3","3","5","3","5","5","2","1","1","3","4","4","3","5","1","5","1","3","1","3","3","3","3","2","4","3","3","3","5","5","1","3","5","1","5","3","4","1","5","5","4","1","1","1","4","3",105,-3,78,-3,"2",NA,"1","2","2","1","1","2","2","-3","2","2","2","2","2","2","2","2","-3","3","3","1","2","2","2","-3","-3","-3","1","-3","-3","-3","-3","-3","-3","1","-3","-3","-3","1","2","5","1","-3","-3","1","1","6","1","2","2","2","2","2","2","2","-3","1","3","1","2","2","1","1","1","1","2","2","2","2","2","2","2","-3","1","3","3","3","3","4","1","1","2","2","2","2","-3","2",NA,NA,NA,NA,NA,"3","3","5","5","2","3","3","1","1","1","3","3","2","2","1","2","1","4","5","3","4","1","2","1","2","2","3","1","2","5","5","5","4","5","5","1","5","4","1","2","5","5",1959,58,"5",30,-3,20,-3,2,"2",NA,NA,NA,NA,NA,"6","1","1","1","1","-3","6","2","2","1","-3","-3","-3","-3","4","5","5","5","5","4",-3,-3,-3,-3,-3
"10128","14","X17","12","1","0","4013","318800","2","3",NA,NA,"4","4","2","4","4","4","4","4","4","4","4","4","5","5","5","5","2","4","2","4","4","3","4","4","2","3","3","4","4","4","4","4","3","3","4","4","4","4","4","4","3","4","2","3","3","2","2","3","3","2","4","2","2","2","4","4","2","2","4","3","4","4","3","3","4","4","4","3","3","3","3","6",110,-3,110,-3,"2",NA,"1","2","2","1","1","2","2","-3","1","2","2","2","2","2","2","2","-3","3","9","6","2","9","6","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","2","7","2","2","2","2","2","2","2","2","-3","1","1","1","1","1","1","2","1","1","2","2","1","2","2","2","2","-3","1","2","2","3","6","3","6","2","2","2","2","2","-3","2",NA,NA,NA,NA,NA,"2","1","4","4","1","1","1","1","1","3","1","1","1","1","1","1","1","4","4","4","4","3","3","4","3","4","4","3","3","4","4","4","4","4","2","4","4","4","4","3","4","4",1994,23,"1",22,-3,1,-3,2,"2",NA,NA,NA,NA,NA,"1","5","2","1","2","6","6","1","2","-3","-3","-3","-3","-3","4","4","4","4","4","4",5,10,-3,150,-3
"10129","2","PWR","4","1","0","4013","522745","3","1",NA,NA,"3","1","1","3","3","3","3","3","1","1","1","1","2","3","2","3","1","4","2","5","3","2","4","5","4","4","4","4","3","4","5","5","1","2","1","4","3","3","3","3","1","3","3","3","2","2","3","3","2","1","5","2","5","3","4","4","2","4","4","2","4","3","4","1","4","4","4","3","3","3","4","6",75,-3,82,-3,"1","2","1","2","2","1","2","2","1","-3","1","2","2","2","2","2","2","2","1","1","3","1","1","5","1","-3","-3","-3","1","-3","-3","-3","-3","-3","-3","-3","-3","1","-3","5","4","1","5","1","-3","1","1","1","1","2","2","2","1","2","2","2","-3","1","5","1","5","5","4","1","1","1","1","1","1","2","2","2","2","-3","3","3","6","4","6","5","5","1","1","2","2","2","-3","2",NA,NA,NA,NA,NA,"1","1","5","5","2","1","1","4","1","3","1","2","1","1","1","1","3","5","5","5","5","5","5","5","5","5","5","5","1","2","4","5","4","5","3","1","5","4","1","4","5","1",1972,45,"3",43,-3,5,-3,4,"1","1","2","1","1","6","7","1","1","2","1","3","6","2","2","1","-3","-3","-3","-3","3","1","1","1","1","2",5,1,-3,236,-3
"10134","1","X17","12","1","0","4013","318800","2","3",NA,NA,"4","3","1","5","5","5","5","5","5","5","5","3","5","5","5","3","1","5","1","5","5","2","4","3","5","5","5","4","2","3","4","2","1","1","5","3","3","3","4","3","2","2","3","1","1","1","3","3","3","1","5","1","2","3","4","4","2","1","4","1","4","4","4","2","5","5","5","1","4","4","2","3",100,-3,110,-3,"2",NA,"1","2","2","1","1","2","2","-3","2","3","3","3","3","3","3","3","-3","3","3","1","7","7","1","-3","-3","-3","1","-3","-3","-3","-3","-3","-3","1","-3","-3","-3","1","1","1","1","5","-3","1","3","2","3","3","3","3","1","3","3","3","-3","3","1","4","5","3","3","1","2","1","2","1","2","3","3","3","3","-3","4","5","3","5","6","2","1","1","1","2","2","2","-3","2",NA,NA,NA,NA,NA,"5","5","5","5","1","1","1","1","1","1","1","1","1","1","1","1","1","2","5","5","5","4","1","5","3","5","5","1","1","4","5","5","5","5","3","1","5","5","1","2","4","1",1992,25,"3",1,-3,1,-3,2,"1","1","1","-3","1","2","4","3","2","1","2","2","4","2","2","-3","-3","-3","-3","-3","6","5","4","5","5","3",5,4,-3,115,-3
"10136","1","U21","9","1","0","4013","116728","1","3",NA,NA,"4","2","1","5","5","5","5","5","4","5","2","2","5","5","3","3","4","4","2","-3","5","2","5","5","5","5","5","5","4","4","5","5","2","2","1","4","4","4","4","4","2","2","3","4","3","2","2","3","3","1","4","2","4","2","5","5","1","1","4","1","5","4","4","1","5","5","5","2","2","2","2","2",90,-3,116,-3,"2",NA,"1","2","2","1","1","2","1","-3","1","2","2","2","2","2","2","2","-3","7","3","1","1","3","1","-3","-3","-3","1","-3","-3","-3","-3","-3","-3","1","-3","-3","-3","4","4","2","2","1","-3","1","1","3","3","3","3","3","3","3","3","3","-3","2","5","1","5","5","4","1","1","1","1","1","1","2","2","2","2","-3","3","4","3","3","6","3","1","2","2","2","2","2","-3","2",NA,NA,NA,NA,NA,"1","1","5","5","2","2","4","2","2","2","1","2","2","1","1","1","1","4","4","3","4","4","3","5","3","3","3","5","5","4","5","5","4","4","1","4","4","4","4","4","2","2",1972,45,"3",13,-3,-3,10,4,"1","2","1","-3","-3","2","2","1","1","1","1","8","7","2","2","1","-3","-3","-3","-3","6","4","4","4","4","2",5,5,-3,215,-3
"10143","8","R18","6","1","0","4013","112506","2","82",NA,NA,"4","3","1","4","5","5","5","5","1","1","1","1","1","1","1","1","1","5","1","5","5","4","1","4","2","4","5","4","5","3","4","5","2","2","4","5","5","5","5","5","5","5","1","4","4","2","1","3","3","4","5","2","5","2","3","4","2","5","5","5","5","4","5","1","4","4","4","2","2","2","3","3",80,-3,75,-3,"2",NA,"1","2","2","1","1","2","1","-3","1","2","1","2","2","2","2","2","-3","3","3","1","4","4","4","-3","-3","-3","-3","1","-3","-3","-3","-3","1","-3","-3","-3","-3","5","3","1","1","1","-3","1","1","2","2","2","2","2","2","2","2","2","-3","1","1","1","5","1","1","2","1","1","1","1","2","2","2","2","2","-3","2","4","3","4","3","4","2","3","2","2","2","2","-3","2",NA,NA,NA,NA,NA,"1","2","5","5","3","3","2","3","2","3","4","3","1","1","1","1","5","4","4","5","5","3","4","5","3","5","5","1","2","5","5","5","5","5","5","1","1","5","1","1","5","3",1958,59,"3",30,-3,28,-3,2,"1","2","1","-3","6","2","1","1","1","2","1","3","3","1","2","1","-3","-3","-3","-3","6","2","4","4","5","5",5,10,-3,250,-3
"10145","4","U18","8","1","0","4013","115700","2","6",NA,NA,"3","2","3","3","3","3","3","3","1","2","1","1","2","3","1","1","3","5","1","5","5","2","1","2","2","2","2","1","1","2","3","2","1","1","2","3","4","4","3","3","4","4","2","1","5","1","1","3","3","1","4","2","3","2","3","3","4","5","3","5","4","4","4","4","4","4","3","3","5","5","1","5",80,-3,77,-3,"2",NA,"1","2","1","1","1","1","1","-3","1","2","2","2","2","2","2","2","-3","3","3","1","2","4","2","-3","-3","-3","-3","-3","1","-3","-3","-3","-3","1","-3","-3","-3","5","5","1","1","1","-3","2","2","2","2","1","2","2","1","2","1","2","-3","1","1","4","3","4","3","1","2","1","2","2","2","2","2","2","1","-3","2","3","1","2","6","4","4","2","1","2","2","1","-3","2",NA,NA,NA,NA,NA,"3","3","5","5","3","1","1","2","4","4","1","1","1","1","1","1","2","4","4","4","4","4","4","-3","-3","4","4","1","2","4","4","5","5","5","3","1","2","5","1","1","5","1",1969,48,"4",41,0,17,6,7,"1","2","1","-3","-3","2","1","1","1","1","2","2","6","2","1",NA,NA,NA,NA,NA,"4","2","2","4","2","3",5,3,-3,335,-3
"10147","3","V14","10","1","0","4013","106300","1","19",NA,NA,"4","5","1","4","5","4","4","5","5","5","1","2","5","5","2","2","1","4","1","5","4","2","5","2","2","5","4","5","4","2","2","5","4","2","5","1","1","1","1","1","1","2","3","3","1","2","3","3","3","2","4","1","3","3","2","2","4","5","5","3","3","3","3","4","5","2","1","3","4","3","4","3",90,-3,82,-3,"1","2","1","2","2","1","1","2","2","-3","1","2","2","1","2","1","1","2","1","2","8","1","2","2","3","-3","-3","-3","-3","-3","1","-3","-3","-3","-3","1","-3","-3","-3","5","1","5","1","1","1","1","1","3","1","1","1","2","1","2","2","1","1","1","1","1","4","4","1","1","2","2","2","2","2","2","2","2","1","-3","2","3","2","5","6","2","3","1","2","2","2","2","-3","2",NA,NA,NA,NA,NA,"1","2","5","5","3","3","1","1","1","3","4","1","2","2","1","1","1","3","5","4","3","2","2","3","3","4","5","2","2","4","4","5","5","5","4","2","4","5","2","1","3","1",1988,29,"3",3,-3,1,-3,3,"1","2","1","-3","6","2","1","1","1","2","2","5","7","2","2","1","-3","-3","-3","-3","6","4","4","4","4","4",5,4,-3,130,-3
